                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9858,                 3.1008,                 1.3767,                 0.5974,                0.37751,                 0.4013,                0.17766,                  1.881,                 6.0081,                 1.4455,              0.0033217,              0.0033217,              0.0033217
                      2,                 1.8788,                 1.8952,                 1.2589,                0.60908,                0.45961,                0.48793,                0.21695,                 1.9314,                 3.6531,                 1.4467,              0.0066293,              0.0066293,              0.0066293
                      3,                 1.8918,                 1.6209,                 1.2708,                0.72298,                0.56281,                0.62586,                0.28623,                 1.7413,                 2.3499,                 1.3184,              0.0099111,              0.0099111,              0.0099111
                      4,                  1.924,                 1.5049,                  1.292,                0.74504,                0.52026,                0.58791,                0.26301,                 1.7819,                  1.837,                  1.337,               0.009884,               0.009884,               0.009884
                      5,                 1.8726,                 1.3875,                 1.2672,                0.73601,                0.56348,                0.62777,                0.30466,                 1.6931,                 3.2244,                 1.2857,              0.0098453,              0.0098453,              0.0098453
                      6,                 1.8241,                 1.2926,                 1.2451,                0.77677,                0.62413,                0.70711,                0.33398,                  1.646,                 1.4772,                 1.2378,              0.0098066,              0.0098066,              0.0098066
                      7,                 1.8078,                 1.2293,                 1.2297,                0.82313,                0.64919,                0.72689,                0.36409,                 1.5484,                 1.1375,                 1.1937,               0.009768,               0.009768,               0.009768
                      8,                 1.7627,                 1.1657,                 1.2128,                0.80475,                0.64227,                0.72659,                0.36766,                 1.5686,                 1.3511,                 1.2502,              0.0097293,              0.0097293,              0.0097293
                      9,                 1.7341,                 1.1231,                 1.1936,                0.81488,                0.66037,                0.74224,                0.36504,                 1.5868,                 1.1877,                 1.2069,              0.0096906,              0.0096906,              0.0096906
                     10,                 1.7057,                 1.0892,                 1.1834,                0.82854,                0.64062,                0.72777,                0.36536,                 1.5839,                 1.2917,                 1.2334,               0.009652,               0.009652,               0.009652
                     11,                 1.6962,                 1.0738,                 1.1773,                0.83453,                0.67843,                0.77786,                0.38863,                 1.5812,                 1.0151,                  1.217,              0.0096133,              0.0096133,              0.0096133
                     12,                 1.6739,                 1.0456,                 1.1609,                0.83462,                0.71711,                0.79716,                0.41138,                 1.5081,                0.92392,                 1.1714,              0.0095746,              0.0095746,              0.0095746
                     13,                 1.6608,                 1.0179,                 1.1575,                 0.8388,                0.73986,                0.81465,                0.42689,                 1.4528,                0.98994,                 1.1408,              0.0095359,              0.0095359,              0.0095359
                     14,                 1.6414,                0.99741,                 1.1574,                0.82304,                0.72931,                0.81111,                0.42235,                 1.4713,                 0.9783,                 1.1389,              0.0094973,              0.0094973,              0.0094973
                     15,                 1.6234,                0.97257,                 1.1367,                0.83625,                 0.7303,                0.81589,                0.42381,                 1.4709,                0.92434,                 1.1348,              0.0094586,              0.0094586,              0.0094586
                     16,                 1.6033,                0.95084,                 1.1352,                0.83185,                0.77151,                0.83326,                0.44193,                 1.4101,                0.96064,                 1.1022,              0.0094199,              0.0094199,              0.0094199
                     17,                 1.6093,                0.94543,                 1.1271,                0.86595,                0.76228,                0.85354,                0.46127,                 1.3915,                0.85005,                 1.1025,              0.0093813,              0.0093813,              0.0093813
                     18,                 1.6064,                0.93995,                 1.1255,                0.88404,                0.77419,                0.85843,                0.46824,                 1.3581,                0.85232,                 1.0849,              0.0093426,              0.0093426,              0.0093426
