                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                  65.79,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.9299,                 4.9825,                 2.9631,             0.00066434,             0.00066434,             0.00066434
                      2,                      0,                 11.422,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 4.1178,                 5.6104,                 2.7316,              0.0013046,              0.0013046,              0.0013046
                      3,                      0,                0.30587,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.8918,                 7.9889,                 2.6961,              0.0019186,              0.0019186,              0.0019186
                      4,                      0,                 0.0022,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 4.4714,                 7.9954,                   2.75,              0.0018812,              0.0018812,              0.0018812
                      5,                      0,                  2e-05,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 4.4549,                 8.2553,                 2.7219,              0.0018416,              0.0018416,              0.0018416
                      6,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.7386,                 5.5435,                 2.2636,               0.001802,               0.001802,               0.001802
                      7,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.6676,                 5.5342,                 2.2409,              0.0017624,              0.0017624,              0.0017624
                      8,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.6521,                 5.6375,                 2.2205,              0.0017228,              0.0017228,              0.0017228
                      9,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                  3.608,                 5.6118,                 2.2025,              0.0016832,              0.0016832,              0.0016832
                     10,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.5964,                 5.6902,                 2.1961,              0.0016436,              0.0016436,              0.0016436
                     11,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.5924,                  5.713,                 2.1934,               0.001604,               0.001604,               0.001604
                     12,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.5863,                 5.7231,                 2.2066,              0.0015644,              0.0015644,              0.0015644
                     13,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.6271,                 5.8435,                 2.2053,              0.0015248,              0.0015248,              0.0015248
                     14,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.5808,                 5.7501,                 2.1856,              0.0014852,              0.0014852,              0.0014852
                     15,                      0,                      0,                      0,                0.00022,                0.01813,                0.00012,                  4e-05,                 3.5514,                 5.6596,                 2.1696,              0.0014456,              0.0014456,              0.0014456
