                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9138,                 2.4453,                 1.2958,                0.75558,                0.61062,                0.68488,                0.34168,                 1.5382,                 2.2333,                 1.1634,              0.0033304,              0.0033304,              0.0033304
                      2,                 1.7984,                 1.4336,                 1.2099,                0.78721,                0.53281,                0.61219,                0.30419,                 1.6408,                 1.7507,                 1.2267,              0.0065318,              0.0065318,              0.0065318
                      3,                 1.8313,                 1.3306,                 1.2261,                0.71137,                0.56558,                0.62772,                0.30811,                 1.7024,                 1.4504,                 1.2526,              0.0096012,              0.0096012,              0.0096012
                      4,                 1.8265,                 1.2863,                 1.2361,                0.82655,                0.69172,                  0.783,                 0.3972,                 1.4985,                 1.5744,                  1.173,               0.009406,               0.009406,               0.009406
                      5,                 1.7488,                 1.1487,                 1.1958,                0.83658,                 0.7214,                0.80569,                0.41888,                 1.4428,                 1.1624,                 1.1307,               0.009208,               0.009208,               0.009208
                      6,                 1.6946,                 1.0694,                 1.1681,                 0.8474,                0.74415,                0.82802,                0.43722,                 1.4139,                0.92103,                 1.1228,                0.00901,                0.00901,                0.00901
                      7,                 1.6465,                  1.009,                 1.1464,                0.86753,                0.78592,                0.86197,                0.47229,                 1.3476,                0.76279,                 1.0785,               0.008812,               0.008812,               0.008812
                      8,                  1.625,                0.97749,                 1.1357,                0.86988,                0.79196,                0.86974,                0.47382,                 1.3327,                0.79196,                 1.0623,               0.008614,               0.008614,               0.008614
                      9,                 1.5947,                0.94619,                  1.125,                0.88753,                0.79618,                0.87718,                0.49081,                 1.3109,                0.68539,                 1.0585,               0.008416,               0.008416,               0.008416
                     10,                 1.5729,                0.91699,                 1.1125,                0.88389,                0.81273,                0.88173,                0.48976,                 1.3042,                0.70448,                 1.0552,               0.008218,               0.008218,               0.008218
                     11,                 1.5513,                0.89031,                 1.1033,                0.90338,                 0.8246,                0.89667,                0.50792,                 1.2551,                0.66617,                 1.0257,                0.00802,                0.00802,                0.00802
                     12,                 1.5351,                0.87048,                 1.0959,                0.91472,                0.80844,                0.89939,                0.51513,                 1.2457,                 0.6536,                  1.028,               0.007822,               0.007822,               0.007822
                     13,                 1.5176,                0.85388,                 1.0875,                0.90036,                0.83251,                 0.9043,                0.51325,                 1.2416,                0.63333,                  1.026,               0.007624,               0.007624,               0.007624
                     14,                 1.5086,                0.83972,                  1.082,                0.90124,                0.84243,                0.90762,                0.51637,                  1.247,                0.61874,                 1.0199,               0.007426,               0.007426,               0.007426
                     15,                 1.4917,                0.82756,                 1.0753,                0.92018,                0.84384,                0.91521,                0.52961,                 1.2149,                0.61552,                 1.0095,               0.007228,               0.007228,               0.007228
                     16,                 1.4763,                0.81258,                 1.0677,                 0.8998,                 0.8579,                0.91586,                0.52934,                 1.2133,                0.64893,                 1.0056,                0.00703,                0.00703,                0.00703
                     17,                 1.4642,                0.80133,                 1.0609,                0.92334,                0.85775,                0.92114,                0.53259,                 1.2045,                0.57022,                 1.0042,               0.006832,               0.006832,               0.006832
                     18,                  1.449,                0.78783,                 1.0596,                0.91249,                0.85163,                 0.9191,                0.53902,                 1.1874,                0.60868,                0.99632,               0.006634,               0.006634,               0.006634
                     19,                 1.4311,                0.77196,                  1.054,                0.91672,                0.85526,                0.92516,                0.54105,                 1.1899,                0.55681,                0.99662,               0.006436,               0.006436,               0.006436
                     20,                 1.4305,                 0.7645,                 1.0494,                0.92077,                0.86944,                0.92743,                0.54569,                 1.1783,                 0.5509,                0.99461,               0.006238,               0.006238,               0.006238
                     21,                 1.4253,                0.75927,                 1.0479,                0.93481,                0.86516,                0.93355,                0.55264,                 1.1606,                0.52826,                0.98476,                0.00604,                0.00604,                0.00604
                     22,                 1.4138,                0.74595,                 1.0449,                0.93249,                0.86548,                0.93102,                0.54878,                 1.1689,                 0.5499,                0.98459,               0.005842,               0.005842,               0.005842
                     23,                 1.3942,                0.73791,                 1.0376,                0.92809,                0.87229,                0.93341,                0.55167,                 1.1537,                0.53202,                 0.9784,               0.005644,               0.005644,               0.005644
                     24,                 1.3869,                0.72789,                 1.0323,                0.92124,                0.88312,                0.93544,                0.55406,                 1.1525,                0.52009,                0.98102,               0.005446,               0.005446,               0.005446
                     25,                 1.3844,                0.72296,                 1.0322,                0.93181,                0.88303,                0.93936,                0.56215,                 1.1429,                0.51769,                0.97237,               0.005248,               0.005248,               0.005248
                     26,                  1.373,                0.71604,                 1.0266,                0.93522,                0.88691,                0.94187,                0.56024,                 1.1429,                0.50424,                 0.9722,                0.00505,                0.00505,                0.00505
                     27,                 1.3592,                0.70681,                 1.0248,                0.92766,                0.89219,                0.94287,                0.56435,                 1.1303,                 0.5029,                 0.9714,               0.004852,               0.004852,               0.004852
                     28,                 1.3575,                0.70549,                 1.0225,                0.93376,                0.88778,                0.94356,                0.56436,                 1.1316,                0.50393,                0.97052,               0.004654,               0.004654,               0.004654
                     29,                 1.3469,                0.69399,                 1.0173,                0.93486,                0.88004,                0.94228,                0.56961,                 1.1271,                0.49891,                 0.9689,               0.004456,               0.004456,               0.004456
                     30,                 1.3375,                0.68634,                 1.0148,                0.92902,                0.89285,                0.94658,                  0.569,                 1.1225,                0.50742,                0.96812,               0.004258,               0.004258,               0.004258
                     31,                 1.3338,                0.68347,                 1.0151,                0.92918,                0.89115,                 0.9443,                0.57009,                 1.1236,                0.51466,                0.96631,                0.00406,                0.00406,                0.00406
                     32,                 1.3224,                0.67396,                 1.0082,                0.91721,                0.89853,                0.94298,                0.57439,                 1.1121,                0.49872,                0.95897,               0.003862,               0.003862,               0.003862
                     33,                 1.3112,                0.66568,                 1.0042,                0.92528,                0.89614,                0.94407,                0.57274,                 1.1098,                0.49257,                0.95908,               0.003664,               0.003664,               0.003664
                     34,                 1.3067,                0.66243,                 1.0058,                0.92569,                0.89911,                0.94639,                0.57694,                 1.1061,                0.48571,                0.95746,               0.003466,               0.003466,               0.003466
                     35,                 1.2994,                0.65239,                0.99987,                0.93139,                0.90603,                0.94942,                0.57879,                  1.107,                0.48227,                0.95728,               0.003268,               0.003268,               0.003268
                     36,                 1.2846,                 0.6434,                0.99303,                0.93744,                0.89449,                0.95172,                0.58059,                 1.1016,                0.47602,                0.95688,                0.00307,                0.00307,                0.00307
                     37,                  1.278,                0.64001,                0.99648,                0.93952,                0.89383,                0.95203,                0.57952,                 1.0999,                0.47156,                0.95737,               0.002872,               0.002872,               0.002872
                     38,                 1.2747,                0.63612,                0.99089,                0.94079,                0.89062,                0.95141,                0.58132,                 1.0941,                0.47042,                0.95507,               0.002674,               0.002674,               0.002674
                     39,                 1.2668,                 0.6298,                0.98813,                 0.9293,                0.90142,                0.95174,                0.58186,                 1.0948,                0.47093,                0.95305,               0.002476,               0.002476,               0.002476
                     40,                 1.2548,                0.62001,                0.98561,                0.93451,                0.90328,                0.95421,                0.58511,                 1.0915,                0.46833,                0.95203,               0.002278,               0.002278,               0.002278
                     41,                 1.2467,                0.59118,                0.99214,                 0.9366,                0.90594,                0.95423,                0.58615,                 1.0906,                 0.4637,                0.95203,                0.00208,                0.00208,                0.00208
                     42,                 1.2302,                0.57777,                0.98368,                0.93217,                 0.9108,                0.95519,                 0.5883,                 1.0865,                0.45948,                0.95029,               0.001882,               0.001882,               0.001882
                     43,                 1.2233,                0.57171,                0.98389,                0.93208,                0.91398,                0.95535,                0.58886,                 1.0826,                0.45772,                0.94835,               0.001684,               0.001684,               0.001684
                     44,                 1.2076,                 0.5614,                0.97811,                 0.9341,                0.91137,                0.95542,                0.59052,                 1.0814,                0.45586,                0.94853,               0.001486,               0.001486,               0.001486
                     45,                 1.1942,                0.55456,                0.97199,                0.93401,                0.91494,                 0.9569,                0.59227,                 1.0791,                0.45269,                 0.9479,               0.001288,               0.001288,               0.001288
                     46,                 1.1874,                0.54708,                0.96911,                0.93333,                0.91385,                0.95705,                0.59162,                  1.079,                0.44994,                0.94729,                0.00109,                0.00109,                0.00109
                     47,                 1.1719,                 0.5407,                0.96556,                0.92918,                0.91658,                0.95707,                 0.5922,                 1.0784,                0.44921,                0.94689,               0.000892,               0.000892,               0.000892
                     48,                 1.1675,                0.53481,                0.96445,                0.92814,                0.91757,                0.95667,                 0.5927,                 1.0784,                0.44942,                0.94659,               0.000694,               0.000694,               0.000694
                     49,                 1.1593,                0.52888,                0.96106,                0.92926,                0.91625,                0.95753,                 0.5926,                 1.0792,                0.44996,                0.94684,               0.000496,               0.000496,               0.000496
                     50,                 1.1434,                0.52315,                0.95454,                0.92955,                0.91788,                0.95746,                0.59355,                  1.079,                0.44877,                 0.9466,               0.000298,               0.000298,               0.000298
