                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0142,                 2.5592,                 1.3695,                0.67658,                0.51863,                0.56563,                0.25466,                 1.8293,                  2.822,                 1.4428,             0.00066434,             0.00066434,             0.00066434
                      2,                 1.9978,                 1.7402,                 1.3453,                 0.5757,                0.48434,                0.49836,                0.23908,                 1.7798,                 1.9306,                 1.3768,              0.0013046,              0.0013046,              0.0013046
                      3,                 1.9891,                 1.6003,                 1.3579,                0.68172,                0.45302,                0.51168,                0.22599,                 1.9281,                 2.1491,                 1.5113,              0.0019186,              0.0019186,              0.0019186
                      4,                 1.9743,                 1.5061,                 1.3528,                 0.7637,                0.58926,                0.65751,                0.31138,                 1.7742,                  2.217,                  1.433,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8913,                 1.3877,                 1.3067,                0.78563,                0.63556,                0.71462,                 0.3378,                  1.677,                 2.0958,                 1.3233,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.8686,                 1.3314,                 1.2959,                0.75267,                0.60171,                0.66932,                0.33235,                 1.6367,                 1.3667,                 1.3134,               0.001802,               0.001802,               0.001802
                      7,                 1.8528,                 1.2835,                 1.2777,                0.81616,                0.68216,                0.75862,                0.37103,                 1.5987,                 1.1556,                 1.2796,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.8167,                 1.2112,                 1.2594,                0.84526,                0.66096,                0.76782,                 0.3881,                 1.5482,                 1.0094,                 1.2458,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.785,                 1.1814,                 1.2422,                0.79688,                0.62117,                0.70382,                 0.3457,                 1.6496,                 1.4266,                 1.3063,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.7476,                 1.1282,                 1.2194,                0.80885,                0.65348,                0.73409,                0.36198,                 1.5931,                 1.1576,                 1.2759,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.7242,                 1.0917,                 1.2136,                0.83495,                0.70096,                0.79734,                0.40955,                  1.484,                0.91622,                 1.2022,               0.001604,               0.001604,               0.001604
                     12,                 1.7172,                  1.086,                 1.1989,                0.84992,                0.71511,                0.80527,                0.40893,                 1.4681,                0.92452,                 1.2003,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.7061,                 1.0653,                 1.1903,                 0.8734,                0.72559,                0.82067,                0.42825,                 1.4597,                0.97019,                 1.2005,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6864,                 1.0519,                 1.1964,                0.84318,                0.71909,                0.79836,                0.40693,                 1.4871,                0.90627,                 1.1885,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.6508,                0.99604,                 1.1682,                0.85567,                0.74151,                0.82193,                0.42172,                 1.4897,                0.98439,                 1.2082,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.6321,                 1.0005,                 1.1689,                0.84505,                0.73854,                0.82039,                0.41717,                 1.4805,                 1.0067,                 1.1908,               0.001406,               0.001406,               0.001406
                     17,                 1.6473,                0.99198,                  1.164,                0.85621,                 0.7603,                0.83817,                0.44965,                 1.3976,                 0.7827,                 1.1449,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.644,                0.97281,                 1.1623,                0.88172,                0.75536,                0.84149,                0.44681,                 1.4012,                0.83949,                 1.1337,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.6235,                0.97009,                 1.1602,                0.86486,                0.76592,                 0.8439,                0.44519,                 1.4295,                0.76105,                  1.159,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6166,                0.93964,                  1.148,                0.87319,                0.76261,                0.83614,                0.45276,                 1.3996,                0.79349,                 1.1299,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.5911,                0.93091,                 1.1385,                0.87457,                0.77243,                 0.8505,                0.45801,                 1.3942,                0.76598,                  1.135,               0.001208,               0.001208,               0.001208
                     22,                 1.6017,                0.92318,                 1.1444,                0.89389,                0.77283,                0.85705,                0.46373,                 1.3653,                0.75414,                 1.1207,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.5629,                0.90058,                 1.1221,                0.88575,                0.78371,                0.86095,                0.46641,                 1.3575,                0.75529,                 1.1154,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.5675,                0.89046,                 1.1324,                0.88753,                0.78311,                0.86614,                0.46885,                 1.3648,                0.71171,                 1.1126,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.566,                  0.883,                 1.1285,                 0.8775,                0.78767,                0.86097,                0.46959,                 1.3422,                0.72989,                 1.1016,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.5321,                 0.8629,                 1.1165,                0.87718,                0.79657,                0.87073,                0.47572,                 1.3337,                0.72311,                 1.0944,                0.00101,                0.00101,                0.00101
                     27,                 1.5323,                0.85551,                 1.1127,                0.87808,                0.79426,                0.86045,                0.46504,                 1.3607,                0.96419,                 1.1131,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5412,                0.86527,                 1.1156,                0.89401,                0.79538,                0.87675,                0.48354,                  1.325,                0.69821,                 1.0895,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5151,                0.84514,                 1.1061,                0.90191,                0.80033,                0.87781,                0.49319,                 1.2871,                0.64948,                 1.0754,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.501,                0.82071,                  1.092,                0.89833,                0.80646,                0.87774,                0.48825,                 1.3022,                0.64338,                 1.0834,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5062,                0.82166,                 1.0996,                0.90044,                0.80511,                0.87648,                0.48549,                 1.3075,                0.69133,                 1.0752,               0.000812,               0.000812,               0.000812
