                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0711,                 2.6368,                 1.3983,                0.48039,                0.30861,                0.31822,                0.12226,                 2.1233,                 3.4551,                 1.5334,             0.00066434,             0.00066434,             0.00066434
                      2,                 2.0303,                 1.7732,                 1.3809,                 0.5803,                0.32344,                0.36233,                0.16019,                 2.1414,                  2.442,                 1.6642,              0.0013046,              0.0013046,              0.0013046
                      3,                 2.0098,                 1.6354,                 1.3698,                0.63501,                0.40422,                0.45419,                0.19465,                 2.0946,                  2.513,                 1.6463,              0.0019186,              0.0019186,              0.0019186
                      4,                 2.0015,                 1.5414,                 1.3648,                0.63608,                  0.394,                0.44628,                0.19016,                 2.0851,                 5.0842,                 1.6414,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9333,                 1.4555,                 1.3293,                0.51139,                0.36564,                 0.4064,                 0.1784,                 2.0734,                 2.1364,                 1.5487,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.8959,                 1.3897,                 1.3184,                0.68366,                 0.3185,                0.38539,                0.19086,                 1.8927,                 2.1671,                 1.5306,               0.001802,               0.001802,               0.001802
                      7,                 1.8831,                 1.3046,                 1.2931,                0.66383,                0.36466,                0.43877,                 0.2009,                 1.9884,                 2.1571,                 1.5791,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.8341,                 1.2643,                 1.2735,                0.59786,                0.35015,                0.39143,                0.19475,                 1.8134,                 2.5272,                 1.4415,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.7993,                 1.1949,                 1.2457,                0.55032,                0.34916,                0.36834,                 0.1661,                 2.0882,                 2.6127,                 1.6381,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.7804,                 1.1722,                 1.2389,                0.54139,                0.35476,                 0.3885,                0.18621,                 1.8843,                 2.2708,                 1.4552,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.7653,                 1.1513,                 1.2367,                0.62965,                0.47214,                0.52339,                0.24601,                 1.9003,                  2.105,                 1.5039,               0.001604,               0.001604,               0.001604
                     12,                 1.7317,                 1.1135,                 1.2094,                0.61382,                0.39037,                0.45174,                0.21491,                 1.9203,                 3.4625,                 1.4778,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.7284,                  1.109,                 1.2048,                0.67487,                0.32641,                0.39689,                0.18383,                 2.0162,                 2.5959,                 1.5454,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.7067,                 1.0689,                 1.2061,                 0.6012,                 0.3365,                0.39012,                0.19354,                 2.0094,                 2.4772,                 1.5322,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.6926,                 1.0481,                 1.1878,                0.56179,                0.33234,                0.36541,                0.19291,                 1.8344,                 2.4996,                 1.4961,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.6619,                 1.0227,                 1.1826,                0.58459,                0.37652,                0.43812,                 0.2227,                 1.8537,                 2.2605,                 1.4176,               0.001406,               0.001406,               0.001406
                     17,                 1.6637,                0.99776,                 1.1708,                0.70279,                0.39894,                0.48209,                0.24394,                 1.8322,                 2.1828,                 1.4491,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.6608,                0.99791,                 1.1667,                0.51697,                0.42345,                0.43313,                0.21616,                  1.897,                  2.605,                 1.4951,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.6378,                0.99577,                 1.1651,                0.57321,                0.34883,                0.37091,                0.18099,                 1.9687,                  2.735,                 1.5045,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6445,                0.98145,                 1.1632,                0.73645,                0.40851,                0.50014,                0.25131,                 1.8588,                 2.3656,                 1.4476,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.6282,                0.96552,                 1.1549,                0.67658,                0.41521,                0.49405,                0.24942,                 1.8067,                 2.1246,                 1.4265,               0.001208,               0.001208,               0.001208
                     22,                 1.6072,                0.93856,                 1.1483,                0.62205,                0.32971,                 0.3796,                0.19593,                  1.897,                 2.7815,                 1.4965,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.5902,                0.92586,                 1.1306,                0.69955,                0.37224,                0.45265,                0.23929,                  1.856,                 2.3925,                 1.4722,              0.0011288,              0.0011288,              0.0011288
                     24,                  1.586,                0.91638,                 1.1401,                0.73968,                0.43455,                0.53358,                0.27121,                 1.8216,                 1.8759,                 1.4111,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.5853,                0.89993,                 1.1316,                0.69902,                0.45255,                0.53511,                0.27208,                 1.8053,                 1.9234,                 1.4233,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.5564,                0.88599,                 1.1277,                0.64478,                0.37883,                0.42462,                0.21237,                 1.8517,                 2.4747,                 1.4339,                0.00101,                0.00101,                0.00101
                     27,                 1.5537,                0.87915,                 1.1241,                0.67904,                0.46456,                0.52873,                0.28191,                 1.7382,                 1.9888,                 1.3549,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5518,                0.87227,                 1.1239,                0.69844,                0.43785,                0.50103,                0.25699,                  1.832,                  1.894,                 1.4343,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5281,                0.85589,                 1.1132,                0.67944,                0.38839,                0.44992,                0.22951,                 1.8342,                 2.1042,                 1.4815,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5272,                0.84199,                 1.0988,                0.69684,                0.39301,                 0.4894,                0.25798,                 1.7802,                 2.1616,                 1.3957,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5245,                0.84243,                 1.1049,                0.71752,                0.44906,                0.53279,                0.27378,                 1.8122,                 2.3072,                 1.3748,               0.000812,               0.000812,               0.000812
                     32,                  1.503,                0.82178,                 1.0982,                0.63944,                0.43192,                0.47901,                0.24821,                  1.827,                 2.3881,                 1.4291,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.4889,                0.81786,                 1.0925,                0.67861,                0.42829,                0.48804,                0.24364,                 1.8808,                 2.1896,                 1.4308,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.5033,                0.82023,                 1.0935,                0.68284,                 0.4306,                0.50215,                0.26484,                  1.782,                 2.2517,                  1.386,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4909,                0.81609,                 1.0905,                0.71774,                0.42136,                0.51195,                0.27108,                 1.7845,                 2.2746,                 1.4039,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4578,                0.79428,                 1.0832,                 0.7338,                0.44079,                0.52398,                0.27281,                 1.7521,                 2.0649,                 1.3698,               0.000614,               0.000614,               0.000614
                     37,                 1.4628,                0.78732,                 1.0809,                0.72711,                0.45038,                 0.5398,                0.28669,                 1.7568,                 1.9743,                 1.3744,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4548,                0.78172,                 1.0698,                0.63018,                0.38213,                0.43793,                0.22633,                 1.8349,                 2.2559,                 1.4176,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4419,                0.76132,                 1.0691,                0.67516,                0.45022,                0.52014,                0.26618,                 1.8322,                 2.0008,                 1.3981,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4268,                0.75762,                 1.0701,                0.67534,                0.44181,                 0.5114,                0.26476,                 1.8112,                 2.1202,                 1.3908,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4429,                0.73862,                  1.087,                0.77326,                0.46851,                0.56962,                0.29882,                 1.7615,                 1.8452,                 1.3755,               0.000416,               0.000416,               0.000416
                     42,                 1.4256,                0.71905,                 1.0788,                0.77096,                 0.4306,                0.54116,                0.29635,                 1.7268,                 2.0004,                 1.3472,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4038,                0.70616,                 1.0698,                0.75753,                0.38708,                0.50451,                0.28166,                 1.7572,                 2.2532,                 1.3865,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4051,                0.70046,                   1.07,                0.74563,                0.38576,                0.49379,                 0.2768,                 1.7731,                 2.1591,                 1.4312,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3811,                0.68631,                 1.0628,                0.76367,                0.39927,                0.51503,                0.28559,                 1.7825,                 2.2904,                  1.392,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3719,                0.67888,                 1.0578,                 0.7928,                0.39433,                0.51468,                0.28501,                 1.8013,                 2.3381,                 1.4093,               0.000218,               0.000218,               0.000218
                     47,                 1.3639,                0.67052,                 1.0524,                0.77753,                0.37817,                0.50005,                0.28035,                 1.7902,                  2.479,                  1.403,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3577,                0.66815,                 1.0513,                0.77463,                0.39202,                0.51436,                0.28605,                 1.7703,                 2.3021,                 1.3923,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3478,                0.65661,                 1.0442,                0.79648,                0.39894,                0.52772,                0.29224,                 1.7705,                 2.2946,                 1.4027,               9.92e-05,               9.92e-05,               9.92e-05
