                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9322,                  2.417,                 1.3247,                0.55449,                0.37982,                0.37054,                0.17636,                 1.8207,                 3.4728,                 1.4643,             0.00066434,             0.00066434,             0.00066434
                      2,                 1.8998,                 1.5898,                 1.3135,                0.72576,                0.59974,                0.64261,                0.29695,                 1.7478,                 1.6246,                 1.3983,              0.0013046,              0.0013046,              0.0013046
                      3,                 1.8836,                 1.4588,                 1.3098,                0.77862,                0.60963,                 0.6909,                0.32652,                 1.7052,                 1.3804,                 1.3599,              0.0019186,              0.0019186,              0.0019186
                      4,                 1.8746,                 1.3773,                 1.3028,                0.74454,                0.55786,                0.61689,                0.28406,                 1.7318,                 5.2161,                 1.3937,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8079,                  1.294,                  1.272,                0.76868,                0.62249,                0.68926,                0.32188,                  1.664,                  2.188,                 1.3267,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.7786,                 1.2076,                 1.2531,                0.83323,                0.67871,                0.77003,                0.38266,                 1.5684,                 1.0714,                 1.2707,               0.001802,               0.001802,               0.001802
                      7,                 1.7565,                 1.1675,                 1.2344,                0.81273,                0.64721,                0.75126,                  0.376,                 1.6178,                 1.1633,                 1.2961,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7219,                 1.1144,                 1.2131,                0.81795,                0.69832,                0.77519,                0.38342,                  1.529,                 1.0361,                  1.231,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6942,                 1.0695,                 1.1957,                 0.8467,                0.70887,                0.79311,                 0.4132,                 1.4657,                 1.0046,                 1.1963,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6682,                 1.0324,                 1.1805,                0.86036,                0.72865,                0.81905,                0.42415,                 1.4662,                 1.0564,                 1.1971,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6603,                 1.0075,                 1.1841,                0.87104,                0.71933,                0.81575,                0.42016,                 1.4848,                0.94673,                 1.2015,               0.001604,               0.001604,               0.001604
                     12,                 1.6382,                0.99737,                 1.1631,                0.84175,                0.73492,                0.82178,                0.43325,                 1.4391,                0.90342,                 1.1772,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6205,                0.96317,                 1.1528,                0.84152,                0.75805,                0.83429,                0.44039,                 1.4114,                0.91326,                 1.1525,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6096,                0.95657,                 1.1603,                  0.867,                0.74147,                0.82798,                0.42575,                 1.4328,                 0.8466,                 1.1544,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5806,                0.92093,                 1.1392,                0.88037,                0.78127,                0.85237,                0.46255,                 1.3825,                0.84588,                 1.1444,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5572,                0.90715,                 1.1357,                0.87814,                0.78338,                0.86479,                 0.4751,                 1.3437,                0.75161,                 1.1141,               0.001406,               0.001406,               0.001406
