                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8576,                 1.8418,                  1.302,                0.82249,                0.61787,                0.70412,                0.35098,                 1.5981,                 1.6334,                 1.2432,              0.0033304,              0.0033304,              0.0033304
                      2,                 1.6854,                 1.1134,                 1.1699,                0.86585,                0.73841,                0.82595,                0.43875,                 1.4072,                 1.2234,                 1.0765,              0.0065318,              0.0065318,              0.0065318
                      3,                 1.7279,                 1.1431,                 1.1856,                0.83454,                0.67985,                0.77782,                0.38946,                 1.5127,                0.99334,                 1.1733,              0.0096012,              0.0096012,              0.0096012
                      4,                  1.745,                 1.1491,                 1.2023,                0.81336,                0.73558,                0.81467,                0.42188,                 1.4361,                0.96443,                 1.1332,               0.009406,               0.009406,               0.009406
                      5,                 1.6728,                 1.0336,                 1.1657,                0.86322,                0.77822,                0.86024,                0.46311,                  1.345,                0.88504,                 1.0837,               0.009208,               0.009208,               0.009208
                      6,                 1.6126,                0.96306,                 1.1363,                0.89347,                0.80472,                0.88414,                0.48398,                 1.3361,                0.73405,                   1.08,                0.00901,                0.00901,                0.00901
                      7,                 1.5622,                0.90821,                  1.117,                0.87901,                0.80877,                0.87732,                0.48769,                 1.3182,                0.75441,                 1.0657,               0.008812,               0.008812,               0.008812
                      8,                 1.5373,                0.87549,                 1.1017,                0.90299,                0.81938,                0.89826,                0.50985,                 1.2663,                0.66579,                 1.0379,               0.008614,               0.008614,               0.008614
                      9,                 1.5098,                0.84548,                 1.0936,                0.91234,                0.83726,                0.91032,                0.51837,                 1.2477,                0.66094,                 1.0329,               0.008416,               0.008416,               0.008416
                     10,                 1.4799,                0.81669,                 1.0795,                0.89871,                0.84837,                0.91168,                 0.5181,                   1.24,                0.60958,                 1.0329,               0.008218,               0.008218,               0.008218
                     11,                 1.4559,                0.79531,                 1.0684,                0.90649,                0.85229,                0.92041,                0.53672,                 1.1975,                0.59337,                 1.0087,                0.00802,                0.00802,                0.00802
                     12,                 1.4411,                0.77704,                 1.0608,                0.91486,                0.85987,                0.92889,                0.54338,                 1.2034,                0.62786,                 1.0141,               0.007822,               0.007822,               0.007822
                     13,                 1.4208,                0.76009,                 1.0522,                0.90304,                0.85671,                0.92274,                0.53591,                  1.177,                0.57635,                 1.0027,               0.007624,               0.007624,               0.007624
                     14,                 1.4086,                0.74523,                 1.0453,                0.91895,                0.86581,                0.92967,                0.54479,                 1.1752,                0.57138,                0.99659,               0.007426,               0.007426,               0.007426
                     15,                 1.3881,                0.72654,                 1.0369,                 0.9237,                0.86746,                0.93171,                0.55379,                 1.1656,                0.58173,                0.98992,               0.007228,               0.007228,               0.007228
                     16,                  1.377,                0.72018,                 1.0351,                0.92504,                0.87702,                 0.9366,                0.55866,                 1.1551,                0.52273,                0.98399,                0.00703,                0.00703,                0.00703
                     17,                 1.3606,                0.70595,                 1.0259,                0.92499,                0.88922,                0.94222,                 0.5658,                 1.1367,                0.52263,                0.98034,               0.006832,               0.006832,               0.006832
                     18,                  1.344,                0.69543,                  1.022,                0.92361,                0.88891,                0.94336,                0.57037,                 1.1337,                0.51129,                0.97991,               0.006634,               0.006634,               0.006634
                     19,                 1.3237,                0.67927,                 1.0175,                0.91699,                0.90735,                0.94685,                0.57032,                   1.13,                0.50536,                0.97739,               0.006436,               0.006436,               0.006436
                     20,                 1.3197,                 0.6742,                 1.0134,                0.92496,                0.89515,                0.94566,                0.57242,                 1.1223,                0.49747,                0.97436,               0.006238,               0.006238,               0.006238
                     21,                 1.3147,                0.66892,                 1.0095,                0.93464,                0.89112,                  0.949,                0.57698,                 1.1168,                0.48235,                0.97268,                0.00604,                0.00604,                0.00604
                     22,                 1.3019,                0.65514,                 1.0051,                 0.9318,                0.90241,                0.95194,                0.58345,                 1.0911,                0.47853,                0.96166,               0.005842,               0.005842,               0.005842
                     23,                 1.2872,                0.64654,                 1.0012,                0.93919,                0.90638,                0.95457,                 0.5856,                 1.0945,                0.47113,                0.96396,               0.005644,               0.005644,               0.005644
                     24,                 1.2732,                0.63816,                0.99639,                0.93935,                0.89878,                 0.9529,                0.58561,                 1.0993,                0.46758,                0.96208,               0.005446,               0.005446,               0.005446
                     25,                 1.2666,                0.63458,                0.99251,                0.93882,                0.90571,                0.95347,                 0.5902,                 1.0814,                0.45918,                0.95487,               0.005248,               0.005248,               0.005248
                     26,                 1.2566,                0.62361,                0.98829,                0.93728,                0.90655,                0.95732,                0.58846,                 1.0893,                 0.4593,                0.95918,                0.00505,                0.00505,                0.00505
                     27,                 1.2403,                0.61395,                0.98517,                0.93273,                 0.9057,                0.95538,                0.59143,                 1.0868,                0.45268,                0.96135,               0.004852,               0.004852,               0.004852
                     28,                 1.2365,                0.61359,                0.98262,                0.93743,                0.91428,                0.95931,                0.59163,                 1.0853,                0.45805,                0.95835,               0.004654,               0.004654,               0.004654
                     29,                 1.2279,                0.60308,                0.97992,                0.93605,                 0.9156,                0.95817,                0.59389,                  1.082,                0.44423,                 0.9605,               0.004456,               0.004456,               0.004456
                     30,                 1.2141,                0.59395,                0.97544,                0.93246,                0.91956,                0.96301,                0.59538,                 1.0762,                0.45187,                0.95705,               0.004258,               0.004258,               0.004258
                     31,                 1.2061,                0.59143,                0.97314,                0.93471,                0.91578,                0.95866,                0.59908,                  1.068,                0.43877,                0.95212,                0.00406,                0.00406,                0.00406
                     32,                 1.1955,                0.58155,                0.96765,                0.94148,                0.91235,                0.96177,                0.60146,                 1.0661,                0.43922,                0.95245,               0.003862,               0.003862,               0.003862
                     33,                  1.183,                0.57367,                0.96574,                0.93481,                0.92195,                0.96017,                 0.5991,                 1.0688,                0.43309,                0.95433,               0.003664,               0.003664,               0.003664
                     34,                 1.1725,                0.57038,                0.96464,                0.93323,                0.92627,                0.96028,                0.60225,                 1.0687,                0.43004,                0.95279,               0.003466,               0.003466,               0.003466
                     35,                 1.1637,                0.56071,                0.95922,                0.93659,                0.92252,                0.96246,                 0.6032,                 1.0697,                0.42847,                0.95372,               0.003268,               0.003268,               0.003268
                     36,                 1.1511,                0.55041,                0.95304,                0.94023,                0.92582,                  0.963,                0.60576,                  1.066,                0.42358,                0.95287,                0.00307,                0.00307,                0.00307
                     37,                 1.1373,                0.54752,                0.95292,                0.93877,                0.92417,                0.96323,                0.60679,                 1.0649,                 0.4221,                 0.9526,               0.002872,               0.002872,               0.002872
                     38,                 1.1405,                0.54518,                0.95015,                0.93813,                0.92483,                0.96283,                0.60796,                 1.0632,                0.41922,                0.95188,               0.002674,               0.002674,               0.002674
                     39,                 1.1212,                0.53662,                0.94505,                0.93625,                0.92977,                0.96315,                0.60892,                 1.0606,                0.41755,                0.94877,               0.002476,               0.002476,               0.002476
                     40,                 1.1142,                0.52804,                0.94344,                 0.9375,                0.92779,                0.96301,                0.60817,                 1.0586,                0.41631,                0.94981,               0.002278,               0.002278,               0.002278
                     41,                 1.1088,                0.50411,                0.94793,                0.94228,                0.92713,                0.96531,                0.61036,                 1.0589,                0.41442,                 0.9501,                0.00208,                0.00208,                0.00208
                     42,                 1.0884,                 0.4932,                0.94093,                0.94328,                0.92667,                0.96503,                0.61094,                 1.0556,                 0.4121,                0.94865,               0.001882,               0.001882,               0.001882
                     43,                 1.0794,                0.48686,                0.94058,                0.94067,                0.92524,                0.96433,                0.61096,                 1.0551,                0.41272,                0.94878,               0.001684,               0.001684,               0.001684
                     44,                 1.0604,                0.47811,                0.93336,                0.94063,                0.92549,                 0.9644,                0.61146,                 1.0548,                0.41155,                0.94854,               0.001486,               0.001486,               0.001486
                     45,                 1.0415,                0.46902,                0.92659,                0.94185,                0.92582,                0.96529,                0.61274,                 1.0536,                0.41037,                0.94844,               0.001288,               0.001288,               0.001288
                     46,                 1.0342,                0.46281,                0.92312,                0.94256,                0.92515,                0.96547,                 0.6128,                 1.0539,                0.40777,                0.94845,                0.00109,                0.00109,                0.00109
                     47,                 1.0176,                0.45734,                0.92034,                0.93989,                0.92798,                0.96612,                0.61334,                 1.0542,                0.40682,                0.94839,               0.000892,               0.000892,               0.000892
                     48,                  1.008,                0.44992,                0.91845,                0.93973,                 0.9253,                0.96459,                0.61239,                 1.0548,                0.40639,                0.94887,               0.000694,               0.000694,               0.000694
                     49,                0.99772,                0.44562,                0.91403,                0.94009,                0.92615,                0.96563,                 0.6124,                 1.0556,                0.40589,                0.94915,               0.000496,               0.000496,               0.000496
                     50,                 0.9871,                0.44068,                0.90912,                0.94037,                0.92549,                0.96525,                 0.6123,                 1.0555,                0.40533,                0.94919,               0.000298,               0.000298,               0.000298
